sdnn,lf_hf,hr,rmssd,pnn50,nn50,stress
29.57,4.564644374,110,13.38,0,4,47.76
30.6,4.474616548,108,13.4,0,4,45.91
30.6,4.474616548,106,13.4,0,4,44.82
31.03,4.363346444,105,13.44,0,4,43.38
31.31,4.258360522,104,13.49,0,4,42
31.31,4.258360522,105,13.49,0,4,42.54
30.84,3.962414349,106,13.49,0,4,40.72
30.84,3.962414349,107,13.49,0,4,41.27
30.97,4.050870147,110,13.27,0,3,43.63
30.97,4.050870147,111,13.27,0,3,44.2
30.97,4.050870147,112,13.27,0,3,44.77
31.24,4.182391889,112,13.4,0,3,45.82
31.24,4.182391889,112,13.4,0,3,45.82
31.24,4.182391889,112,13.4,0,3,45.82
31.24,4.182391889,112,13.4,0,3,45.82
28.2,3.493616553,110,12.4,0,0,39.27
28.34,3.472150814,109,12.34,0,0,38.55
28.34,3.472150814,109,12.34,0,0,38.55
28.34,3.472150814,108,12.34,0,0,37.99
28.34,3.472150814,107,12.34,0,0,37.44
28.73,3.308665809,107,12.32,0,0,36.19
29.92,3.579710145,105,12.48,0,0,37.19
29.92,3.579710145,104,12.48,0,0,36.65
29.92,3.579710145,104,12.48,0,0,36.65
31.03,3.89202509,102,12.57,0,0,38.04
31.83,3.501208364,102,12.61,0,0,34.99
31.41,3.843448131,102,12.73,0,0,37.66
31.41,3.843448131,102,12.73,0,0,37.66
31.41,3.843448131,102,12.73,0,0,37.66
31.41,3.843448131,103,12.73,0,0,38.18
29.97,2.961208144,103,12.78,0,0,31.4
29.97,2.961208144,104,12.78,0,0,31.93
29.97,2.961208144,104,12.78,0,0,31.93
29.97,2.961208144,104,12.78,0,0,31.93
29.97,2.961208144,104,12.78,0,0,31.93
30.08,3.074706296,103,12.68,0,0,32.26
30.08,3.074706296,103,12.68,0,0,32.26
30.08,3.074706296,103,12.68,0,0,32.26
30.67,3.170034007,102,12.59,0,0,32.46
30.67,3.170034007,101,12.59,0,0,31.94
30.67,3.170034007,101,12.59,0,0,31.94
30.67,3.170034007,101,12.59,0,0,31.94
30.73,2.865365265,101,12.57,0,0,29.64
30.73,2.865365265,99,12.57,0,0,28.62
30.73,2.865365265,99,12.57,0,0,28.62
32.76,3.425857843,99,12.98,0,2,32.87
31.94,3.080848914,99,13.08,0,2,30.24
31.94,3.080848914,99,13.08,0,2,30.24
32.37,3.688982487,101,13.11,0,2,35.93
32.31,3.781564501,100,13.08,0,2,36.14
32.31,3.781564501,100,13.08,0,2,36.14
32.31,3.781564501,100,13.08,0,2,36.14
33.82,3.689778174,100,13.29,0,2,35.42
33.82,3.689778174,99,13.29,0,2,34.92
33.82,3.689778174,98,13.29,0,2,34.41
34.83,3.665855008,98,13.37,0,2,34.23
34.83,3.665855008,98,13.37,0,2,34.23
35.02,3.854355069,97,13.32,0,2,35.2
35.02,3.854355069,97,13.32,0,2,35.2
35.52,3.718164344,97,13.27,0,2,34.14
35.52,3.718164344,97,13.27,0,2,34.14
35.52,3.718164344,98,13.27,0,2,34.63
35.96,3.620877253,98,13.36,0,2,33.88
35.96,3.620877253,98,13.36,0,2,33.88
35.96,3.620877253,97,13.36,0,2,33.38
35.85,3.156888309,97,13.44,0,2,29.82
35.71,3.546006539,97,13.48,0,2,32.8
35.71,3.546006539,97,13.48,0,2,32.8
34.83,3.493264613,97,13.51,0,2,32.39
34.83,3.493264613,97,13.51,0,2,32.39
34.83,3.493264613,97,13.51,0,2,32.39
34.83,3.493264613,97,13.51,0,2,32.39
