alpha,beta,delta,theta,gamma
160,1477,213,95,29
223,1576,347,268,41
166,1478,891,114,8
210,1439,761,152,28
216,1522,1685,278,26
151,1438,2439,189,6
187,1705,625,218,24
187,1705,625,218,24
221,1401,620,124,17
233,1146,1026,243,29
143,892,1405,251,29
139,647,940,174,17
131,1013,418,193,33
193,1159,208,109,41
106,1153,217,77,12
142,865,471,227,16
105,1029,318,136,17
145,1063,425,133,37
146,1065,499,115,41
166,1052,332,98,40
114,934,359,95,11
114,934,359,95,11
227,1122,353,116,24
285,1499,1060,216,42
285,1499,1060,216,42
426,2054,6815,584,94
227,1075,651,230,30
126,1480,413,123,13
199,1692,473,156,31
206,1344,364,73,22
206,1344,364,73,22
160,923,418,127,31
385,1186,1058,181,60
112,836,80,54,20
87,785,117,46,12
113,773,388,138,41
113,773,388,138,41
89,765,206,64,5
118,846,1008,180,31
118,967,40,21,13
72,726,135,65,10
109,546,863,111,23
79,589,68,49,16
135,856,816,179,51
111,712,999,211,23
90,654,415,100,12
147,944,581,171,30
118,736,440,95,30
118,736,440,95,30
132,703,412,100,27
214,871,855,404,62
179,958,2231,228,33
179,958,2231,228,33
296,1485,2913,328,83
145,1268,922,43,9
114,1341,197,80,10
132,491,371,119,27
357,1118,10062,680,137
158,974,641,195,27
132,1003,678,127,17
132,1003,678,127,17
179,1214,876,250,30
226,1394,168,64,29
106,1432,540,82,9
259,1874,390,125,23
195,1148,331,114,26
217,1160,2954,163,21
141,1262,411,180,32
133,1159,372,140,17
135,1382,49,147,13
160,1004,125,211,38
120,817,543,161,27
120,817,543,161,27
144,1209,615,134,34
154,1326,342,112,11
197,1175,282,158,15
197,1175,282,158,15
98,996,294,97,10
97,769,66,41,15
97,769,66,41,15
105,867,50,23,12
105,867,50,23,12
157,776,70,37,25
119,1055,687,137,23
141,1527,382,92,30
209,1535,316,187,39
211,1169,557,281,35
292,1331,4193,259,56
196,1278,303,109,26
196,1278,303,109,26
111,728,1055,69,14
240,1190,3515,476,50
92,378,133,42,4
44,84,54,48,14
44,84,54,48,14
41,45,99,101,7
23,40,53,31,3
101,611,941,147,9
132,840,162,68,13
128,719,996,126,21
131,582,474,154,14
182,699,443,97,57
182,699,443,97,57
163,1096,611,272,29
476,1340,37337,1692,55
176,1216,3547,422,30
120,1449,333,109,15
193,1219,284,156,25
144,674,256,101,18
149,722,268,114,26
120,585,371,87,7
84,211,233,103,34
84,211,233,103,34
67,382,211,85,10
178,536,300,189,35
127,756,462,84,24
102,639,244,102,14
69,957,675,104,14
69,957,675,104,14
148,517,461,92,31
104,387,246,131,24
171,524,730,181,31
171,524,730,181,31
74,271,165,62,20
74,271,165,62,20
165,804,877,231,17
122,417,404,104,21
115,310,165,104,18
78,270,176,65,21
177,719,1055,192,52
177,719,1055,192,52
134,714,559,61,28
134,714,559,61,28
88,502,316,56,21
102,620,211,79,11
81,507,125,78,28
81,507,125,78,28
98,396,502,234,15
104,475,173,74,20
87,401,250,94,15
87,401,250,94,15
115,319,230,80,27
80,321,137,70,18
115,498,838,265,15
90,480,397,161,15
75,374,196,56,11
100,287,284,54,31
61,206,159,53,14
76,189,200,52,23
69,210,195,101,20
59,222,189,91,17
59,222,189,91,17
115,297,192,66,35
109,572,327,98,15
54,405,100,53,4
54,405,100,53,4
81,376,490,115,33
81,376,490,115,33
102,313,185,79,13
102,313,185,79,13
102,313,185,79,13
61,237,348,115,15
96,372,402,141,10
71,271,113,32,19
71,271,113,32,19
63,214,139,68,6
99,434,352,121,18
99,434,352,121,18
64,213,69,31,10
78,253,258,103,15
60,268,98,70,13
60,268,98,70,13
54,225,43,27,9
74,201,150,41,6
80,228,405,116,14
80,228,405,116,14
62,101,264,59,10
62,101,264,59,10
64,75,254,83,10
64,75,254,83,10
94,260,196,83,23
97,242,363,136,20
80,193,321,124,13
80,193,321,124,13
154,349,14958,383,34
42,129,96,46,5
42,129,96,46,5
53,178,50,43,7
53,178,50,43,7
76,333,228,39,7
93,353,1488,112,11
116,290,1389,76,19
50,118,143,47,4
49,99,112,46,10
81,86,274,106,36
65,87,197,71,23
35,87,72,53,7
62,86,101,61,13
51,112,283,102,14
67,115,245,50,21
334,384,6456,488,32
84,379,180,110,16
75,228,102,77,26
69,296,1109,110,12
54,233,145,89,9
64,257,465,80,13
96,422,429,129,21
84,256,231,85,18
71,183,301,77,13
97,308,651,176,18
97,308,651,176,18
84,259,177,61,23
137,296,694,157,17
177,824,6008,178,46
177,824,6008,178,46
177,824,6008,178,46
111,653,559,99,11
187,1072,449,163,30
128,932,253,73,15
128,932,253,73,15
91,886,249,102,8
122,615,256,87,29
130,523,1070,175,14
77,581,131,60,12
77,581,131,60,12
53,443,159,81,5
79,369,192,68,7
96,378,173,57,24
96,378,173,57,24
59,390,197,91,7
38,151,28,43,7
64,114,135,64,8
42,134,169,52,6
42,95,98,46,13
144,638,1471,167,33
151,495,961,141,28
136,470,927,218,29
125,418,493,113,34
107,328,491,127,24
144,570,605,162,54
144,570,605,162,54
124,881,478,134,13
124,881,478,134,13
118,969,262,401,26
118,969,262,401,26
145,804,289,122,17
213,1013,851,288,22
118,912,356,119,15
235,593,1376,406,39
151,1081,342,128,34
155,934,453,178,21
146,727,301,170,15
248,1114,441,175,27
248,1114,441,175,27
205,1084,1164,200,20
205,1084,1164,200,20
199,1358,1051,184,40
166,539,1466,159,40
188,569,427,119,12
159,815,409,149,31
91,676,87,38,23
76,597,1346,111,3
76,597,1346,111,3
164,1016,401,122,16
164,1016,401,122,16
55,509,203,66,10
65,502,914,207,14
66,464,38,36,12
476,754,18020,1741,97
209,821,2590,321,59
73,591,298,71,19
213,1104,3425,231,19
200,866,2477,405,32
166,824,353,111,32
166,824,353,111,32
109,603,589,181,27
176,879,532,145,21
156,1069,354,201,27
156,1069,354,201,27
191,909,1154,210,19
172,764,5185,327,48
179,1127,4843,463,17
120,1117,455,111,12
237,1200,659,211,55
237,1200,659,211,55
378,1087,14620,674,167
211,1461,559,205,28
231,1249,794,208,27
140,983,695,141,18
105,690,224,90,26
105,690,224,90,26
145,1174,1732,150,20
391,1018,3396,460,90
208,1439,235,105,15
146,1423,568,106,19
104,977,401,78,14
139,890,1883,307,12
108,763,101,115,23
108,763,101,115,23
109,900,358,73,21
124,983,383,146,14
166,1004,625,96,32
131,727,1290,240,9
207,785,429,161,38
